	Gender	Age	year	gpax	Region	previous-edu	uni-activity	influ-major	influ-people	influ-wellknown	influ-quality	influ-careermarket	E	I	S	N	T	F	J	P
103	f	>23	first	C+	NorthEast	highschool-mathsci	yes	high	mid	high	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
104	m	>23	third	B+	NorthEast	highschool-art	yes	low	mid	mid	high	mid	Low	High	High	Low	Low	High	Mid	Mid
105	m	>23	first	C+	NorthEast	highschool-art	yes	mid	high	mid	high	mid	Mid	Mid	Low	High	Low	High	High	Low
106	m	>23	forth	B	NorthEast	highschool-art	no	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
107	m	>23	second	C+	NorthEast	highschool-mathsci	yes	high	high	high	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
108	m	23-28	completed	B	NorthEast	highschool-art	yes	mid	mid	mid	high	mid	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
109	f	>23	second	B	NorthEast	highschool-art	yes	high	mid	high	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
110	m	>23	forth	B	NorthEast	highschool-art	yes	mid	mid	high	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
111	f	>23	third	B	NorthEast	highschool-mathsci	no	mid	high	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
112	m	>23	third	B	NorthEast	highschool-art	yes	mid	mid	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
113	m	>23	third	B	West	highschool-mathsci	yes	mid	mid	high	mid	high	High	Low	High	Low	High	Low	Mid	Mid
114	m	29-34	completed	B	East	highschool-mathsci	yes	mid	high	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
115	m	>23	first	C+	Central	highschool-art	yes	mid	mid	mid	high	high	High	Low	Mid	Mid	High	Low	High	Low
116	m	>23	forth	C+	Central	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
117	m	>23	second	B+	North	highschool-art	yes	high	mid	mid	high	high	High	Low	High	Low	Mid	Mid	Mid	Mid
118	m	>23	third	B	North	vocational	yes	high	mid	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
119	f	29-34	completed	B	North	highschool-art	yes	mid	mid	high	mid	mid	High	Low	High	Low	Mid	Mid	High	Low
120	f	>23	second	B	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
121	m	>23	first	B	North	highschool-art	yes	mid	mid	mid	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
122	f	>23	forth	B	Central	highschool-art	yes	mid	mid	mid	high	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
123	f	>23	forth	C+	Central	highschool-art	no	high	mid	mid	high	high	Mid	Mid	Low	High	Low	High	Mid	Mid
124	m	>23	second	B	Central	highschool-art	yes	mid	mid	low	mid	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
125	LGBT	>23	third	B	Central	highschool-art	yes	high	mid	high	mid	mid	High	Low	Mid	Mid	Low	High	High	Low
126	f	>23	first	B	Central	highschool-art	yes	mid	mid	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
127	m	>23	forth	B	West	highschool-mathsci	yes	mid	high	high	high	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
128	f	>23	second	B	North	highschool-art	yes	mid	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
129	f	>23	third	B	Central	highschool-art	yes	high	high	high	high	high	Mid	Mid	High	Low	High	Low	High	Low
130	f	>23	second	B	North	highschool-mathsci	yes	mid	mid	high	high	high	Mid	Mid	Mid	Mid	Low	High	High	Low
131	m	>23	forth	B	South	highschool-art	yes	mid	mid	mid	mid	high	Mid	Mid	High	Low	Mid	Mid	High	Low
132	LGBT	>23	third	C+	West	highschool-art	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
133	f	>23	second	C+	Central	highschool-art	no	mid	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
134	f	>23	first	C+	Central	highschool-art	yes	high	mid	low	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
135	f	>23	third	B	Central	highschool-art	yes	mid	high	mid	high	high	Mid	Mid	High	Low	Low	High	Mid	Mid
136	m	>23	second	B	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Low	High	Low	High	Low	High
137	LGBT	23-28	completed	B	Central	highschool-art	yes	mid	high	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
138	m	>23	first	C+	North	highschool-art	yes	mid	high	mid	high	mid	Mid	Mid	High	Low	Low	High	Mid	Mid
139	m	23-28	completed	B	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
140	f	>23	forth	C+	Central	highschool-art	yes	low	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
141	m	>23	third	B	Central	highschool-art	yes	mid	mid	high	mid	mid	Mid	Mid	High	Low	Mid	Mid	High	Low
142	m	>23	third	B	East	highschool-mathsci	yes	high	mid	high	high	high	Mid	Mid	Mid	Mid	High	Low	High	Low
143	m	>23	third	B	Central	highschool-art	yes	mid	high	mid	high	high	High	Low	High	Low	Mid	Mid	Mid	Mid
144	f	>23	second	B	Central	highschool-art	yes	mid	mid	mid	high	high	Low	High	High	Low	Mid	Mid	High	Low
145	LGBT	>23	second	B	Central	highschool-art	yes	mid	high	mid	mid	mid	High	Low	Mid	Mid	High	Low	Low	High
146	f	>23	third	B	Central	highschool-art	yes	mid	mid	mid	high	mid	High	Low	Low	High	Mid	Mid	Mid	Mid
147	f	>23	third	B	North	highschool-art	yes	high	high	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
148	f	>23	second	C+	North	highschool-art	yes	mid	high	high	mid	mid	Mid	Mid	High	Low	Low	High	High	Low
149	f	>23	second	C+	North	highschool-mathsci	yes	mid	high	mid	mid	high	Mid	Mid	Low	High	Mid	Mid	High	Low
150	m	>23	forth	C+	North	highschool-mathsci	yes	high	high	mid	high	high	High	Low	High	Low	Mid	Mid	Mid	Mid
151	m	>23	third	B	North	highschool-mathsci	yes	high	high	mid	high	high	Mid	Mid	Mid	Mid	High	Low	Low	High
152	LGBT	>23	third	B	Central	highschool-art	yes	high	mid	mid	mid	high	High	Low	Mid	Mid	High	Low	Mid	Mid
153	LGBT	>23	third	B+	North	vocational	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
154	f	>23	first	B	Central	highschool-mathsci	yes	high	high	high	high	high	High	Low	High	Low	Low	High	Mid	Mid
155	LGBT	23-28	forth	B	North	vocational	yes	high	high	high	high	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
156	f	>23	second	B+	North	highschool-mathsci	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
157	m	>23	second	C+	North	highvocational	yes	high	low	high	mid	mid	Low	High	Low	High	Mid	Mid	High	Low
158	m	23-28	second	B+	North	vocational	yes	high	mid	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
159	m	>23	forth	B	Central	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
160	m	>23	first	B+	Central	highschool-art	no	low	mid	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
161	m	23-28	completed	B	North	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
162	f	>23	third	C	North	highschool-mathsci	no	high	low	mid	high	high	Mid	Mid	High	Low	Mid	Mid	Low	High
163	LGBT	>23	third	B	North	highschool-mathsci	yes	high	low	high	mid	mid	Mid	Mid	Mid	Mid	Low	High	High	Low
164	f	>23	second	C+	North	highschool-mathsci	yes	high	high	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
165	LGBT	>23	first	B+	North	highschool-art	no	low	mid	mid	high	mid	Mid	Mid	Mid	Mid	High	Low	Low	High
166	f	23-28	third	B	NorthEast	highschool-mathsci	yes	high	low	high	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
167	m	>23	third	C+	East	highschool-mathsci	yes	mid	high	high	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
168	m	>23	forth	B	West	highschool-mathsci	yes	high	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
169	m	>23	third	C+	Central	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Low	High	Mid	Mid	Low	High
170	m	>23	second	C+	West	highschool-mathsci	yes	high	high	high	mid	high	Mid	Mid	High	Low	Mid	Mid	High	Low
171	f	>23	second	B	Central	highschool-art	yes	mid	mid	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	High	Low
172	f	>23	third	C+	Central	highschool-mathsci	yes	high	high	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	High	Low
173	f	>23	third	B	North	highschool-mathsci	yes	mid	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
174	f	>23	second	B	Central	highschool-mathsci	yes	high	mid	high	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
175	f	>23	forth	C+	Central	highschool-mathsci	yes	high	mid	mid	mid	mid	Mid	Mid	Mid	Mid	High	Low	Low	High
176	f	>23	first	B	North	highschool-art	yes	mid	high	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
177	LGBT	>23	second	B	NorthEast	highschool-mathsci	yes	mid	high	mid	mid	low	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
178	m	23-28	second	C	North	vocational	no	low	high	mid	low	mid	Mid	Mid	Mid	Mid	High	Low	High	Low
179	LGBT	>23	second	B	North	highschool-art	yes	high	high	high	high	high	High	Low	Low	High	Mid	Mid	Mid	Mid
180	m	>23	first	C+	North	highvocational	no	mid	low	low	mid	mid	Mid	Mid	High	Low	High	Low	High	Low
181	f	>23	first	B	East	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
182	m	>23	second	C	Central	highschool-mathsci	no	low	high	high	high	mid	Low	High	Mid	Mid	Low	High	Low	High
183	m	>23	second	C+	North	highschool-art	yes	mid	mid	mid	high	mid	Low	High	Low	High	Mid	Mid	Mid	Mid
184	m	23-28	first	B	Central	highschool-art	yes	mid	high	high	high	high	High	Low	Mid	Mid	Low	High	Low	High
185	LGBT	23-28	first	B	Central	non-formal	no	high	low	high	high	low	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
186	LGBT	>23	first	C	Central	non-formal	no	low	high	high	high	mid	Mid	Mid	Low	High	Mid	Mid	High	Low
187	f	>23	third	C+	North	highschool-mathsci	yes	high	mid	high	mid	high	Mid	Mid	High	Low	Mid	Mid	High	Low
188	f	>23	forth	B	North	highschool-art	yes	mid	mid	high	mid	high	Mid	Mid	Mid	Mid	High	Low	Low	High
189	m	>23	second	C+	Central	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
190	m	>23	second	C+	Central	highschool-mathsci	yes	high	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
191	f	>23	second	C+	South	highschool-mathsci	yes	high	high	mid	high	high	Low	High	Mid	Mid	Mid	Mid	High	Low
192	m	29-34	completed	C	Central	highvocational	no	mid	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
193	m	>23	third	B	East	highschool-art	yes	mid	low	mid	high	high	Low	High	High	Low	Mid	Mid	High	Low
194	m	>23	forth	C+	Central	highschool-art	yes	mid	high	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
195	f	>23	second	B	Central	highschool-art	yes	mid	mid	mid	high	high	High	Low	Low	High	High	Low	High	Low
196	m	>23	forth	B	Central	highschool-art	yes	mid	mid	low	mid	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
197	f	>23	second	B	Central	highschool-art	no	mid	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	High	Low
198	f	>23	first	B	Central	highschool-art	yes	mid	mid	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
199	f	>23	second	B	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
200	m	>23	second	C+	Central	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	High	Low	High	Low	Mid	Mid
201	m	>23	forth	B	Central	highschool-mathsci	yes	high	high	mid	high	high	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
202	f	>23	second	B	NorthEast	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
203	m	>23	third	B	NorthEast	highschool-mathsci	yes	high	high	high	high	high	High	Low	High	Low	High	Low	Mid	Mid
204	f	>23	second	B	North	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
205	f	29-34	completed	B	NorthEast	highschool-art	yes	mid	mid	mid	high	high	High	Low	High	Low	High	Low	High	Low
206	f	23-28	completed	B	NorthEast	highschool-art	yes	mid	high	mid	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
207	f	>23	forth	B	East	highschool-mathsci	yes	mid	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
208	m	>23	second	B	West	highschool-mathsci	yes	high	high	mid	mid	high	Mid	Mid	High	Low	High	Low	Mid	Mid
209	m	>23	third	C+	Central	highschool-art	yes	mid	high	mid	mid	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
210	f	29-34	completed	B+	Central	highschool-art	yes	low	mid	mid	mid	mid	High	Low	High	Low	Low	High	Mid	Mid
211	LGBT	>23	third	B	North	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	Low	High	Low	High	Mid	Mid
212	m	>23	second	C+	Central	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Low	High	High	Low
213	f	>23	first	C+	NorthEast	highschool-art	yes	mid	low	low	mid	mid	High	Low	Mid	Mid	High	Low	High	Low
214	m	23-28	completed	B	East	highschool-mathsci	yes	high	high	high	high	high	High	Low	High	Low	High	Low	Mid	Mid
215	f	>23	first	C+	NorthEast	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
216	m	>23	third	C+	South	highschool-mathsci	yes	mid	mid	mid	mid	high	Mid	Mid	Mid	Mid	High	Low	High	Low
217	m	>23	second	B	Central	highschool-art	yes	mid	mid	mid	mid	high	High	Low	High	Low	High	Low	Mid	Mid
