Gender	Age	major	year	gpax	Region	previous-edu	uni-activity	influ-major	influ-people	influ-wellknown	influ-quality	influ-careermarket	E	I	S	N	T	F	J	P
m	>23	Engineer & Industrial	forth	B	Central	highschool-mathsci	yes	high	high	high	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
m	35+	Business and Law	completed	C+	NorthEast	highvocational	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	29-34	ICTs	completed	C+	NorthEast	highschool-mathsci	yes	high	mid	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	Business and Law	second	B+	North	vocational	yes	high	low	mid	high	high	High	Low	High	Low	Mid	Mid	High	Low
f	>23	Education	third	B+	North	vocational	yes	high	high	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Business and Law	second	B	North	highschool-mathsci	yes	mid	mid	high	high	mid	High	Low	Mid	Mid	Low	High	Low	High
f	>23	Health 	second	B	North	vocational	no	mid	mid	mid	mid	mid	High	Low	Low	High	Low	High	Low	High
f	>23	Health 	second	B	North	vocational	no	mid	mid	mid	mid	mid	High	Low	Low	High	Low	High	Low	High
f	>23	Education	second	B+	North	vocational	no	mid	mid	mid	high	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
m	23-28	Sciences & Maths	third	B	North	highvocational	yes	high	mid	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
m	>23	Engineer & Industrial	second	B	North	highvocational	yes	high	mid	mid	high	mid	High	Low	Mid	Mid	High	Low	High	Low
f	>23	Engineer & Industrial	first	C+	North	vocational	yes	high	mid	mid	high	mid	High	Low	High	Low	Mid	Mid	High	Low
m	>23	Sciences & Maths	third	C+	North	vocational	yes	high	mid	mid	high	mid	High	Low	High	Low	Mid	Mid	High	Low
f	23-28	Sciences & Maths	forth	B	North	highschool-mathsci	yes	high	mid	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
m	>23	Sciences & Maths	second	C+	Central	vocational	yes	high	low	high	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
f	>23	Sciences & Maths	second	B	East	highschool-mathsci	yes	high	high	high	mid	high	Mid	Mid	Mid	Mid	High	Low	High	Low
f	>23	Business and Law	third	C+	South	highvocational	yes	high	mid	mid	high	high	Mid	Mid	High	Low	High	Low	High	Low
m	23-28	Business and Law	third	C+	North	highvocational	yes	high	high	high	high	mid	High	Low	Mid	Mid	High	Low	High	Low
m	>23	Business and Law	first	C+	North	vocational	yes	high	high	mid	mid	high	High	Low	High	Low	Mid	Mid	Mid	Mid
f	23-28	ICTs	forth	B	North	vocational	yes	high	high	high	high	high	High	Low	High	Low	High	Low	Mid	Mid
m	>23	Business and Law	third	B	Central	highvocational	yes	high	high	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
f	>23	Business and Law	third	B	Central	highvocational	yes	high	high	mid	mid	high	High	Low	High	Low	High	Low	High	Low
f	>23	Arts & Humanities	second	B	Central	highvocational	yes	high	high	high	mid	mid	Mid	Mid	High	Low	High	Low	Mid	Mid
m	29-34	Education	completed	B+	East	highschool-art	yes	high	mid	mid	high	mid	High	Low	High	Low	Mid	Mid	High	Low
f	23-28	Arts & Humanities	forth	B	North	highvocational	yes	high	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
f	23-28	Health 	forth	B+	North	highschool-mathsci	yes	high	low	high	high	high	Low	High	Low	High	Mid	Mid	High	Low
m	>23	Social sciences & Journal	second	C+	West	vocational	yes	high	high	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	35+	Engineer & Industrial	completed	B+	North	highschool-mathsci	yes	high	mid	high	high	high	High	Low	High	Low	Mid	Mid	High	Low
m	>23	Business and Law	third	B	Central	vocational	yes	high	high	high	high	high	High	Low	High	Low	High	Low	High	Low
m	>23	Business and Law	third	B	NorthEast	vocational	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	Mid	Mid
m	23-28	Social sciences & Journal	forth	B+	NorthEast	highvocational	yes	high	mid	high	high	mid	High	Low	High	Low	Mid	Mid	High	Low
f	>23	Sciences & Maths	first	B	Central	highschool-mathsci	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
m	>23	Engineer & Industrial	first	C+	North	vocational	yes	mid	mid	mid	mid	mid	High	Low	Low	High	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	forth	B	North	highschool-mathsci	yes	high	high	mid	high	high	High	Low	High	Low	Low	High	Mid	Mid
m	>23	Engineer & Industrial	second	B	North	highschool-mathsci	yes	high	high	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	second	C+	Central	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
m	>23	Engineer & Industrial	second	B	Central	highschool-mathsci	yes	high	mid	high	mid	high	High	Low	Mid	Mid	High	Low	High	Low
m	>23	Engineer & Industrial	second	C+	South	highschool-mathsci	yes	high	mid	mid	high	high	High	Low	Mid	Mid	High	Low	Low	High
m	>23	Engineer & Industrial	second	C+	North	highschool-mathsci	yes	high	high	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Business and Law	second	C	North	highschool-mathsci	no	high	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	23-28	Business and Law	third	B+	North	vocational	yes	high	mid	high	mid	high	High	Low	High	Low	High	Low	High	Low
m	29-34	Business and Law	completed	B	North	highvocational	yes	high	low	high	mid	high	High	Low	High	Low	High	Low	Mid	Mid
m	23-28	Business and Law	completed	B+	Central	highvocational	yes	high	high	mid	high	mid	High	Low	Mid	Mid	Low	High	High	Low
m	29-34	Education	completed	B+	NorthEast	highschool-mathsci	yes	high	mid	high	high	mid	High	Low	Low	High	Low	High	High	Low
f	>23	Business and Law	second	B	Central	vocational	yes	high	low	mid	mid	mid	Low	High	Low	High	Mid	Mid	High	Low
f	>23	Arts & Humanities	first	B	Central	highschool-art	yes	high	high	high	high	mid	High	Low	High	Low	Mid	Mid	High	Low
f	35+	Business and Law	completed	B	NorthEast	vocational	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
m	>23	Arts & Humanities	second	B	North	vocational	yes	high	mid	high	high	high	Low	High	Low	High	Mid	Mid	High	Low
m	>23	Engineer & Industrial	third	B	Central	vocational	yes	high	low	high	high	high	High	Low	High	Low	High	Low	High	Low
m	29-34	Social sciences & Journal	completed	B	North	highschool-mathsci	yes	high	mid	high	high	mid	High	Low	High	Low	High	Low	High	Low
m	>23	Engineer & Industrial	first	C+	Central	highvocational	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
m	>23	Engineer & Industrial	forth	B	Central	highschool-mathsci	yes	high	mid	mid	high	high	High	Low	Mid	Mid	High	Low	High	Low
f	>23	Engineer & Industrial	third	B	North	highschool-mathsci	yes	mid	high	mid	mid	high	Mid	Mid	Mid	Mid	Low	High	Low	High
m	>23	Engineer & Industrial	first	B	Central	highschool-art	no	mid	mid	low	mid	high	Mid	Mid	High	Low	Low	High	Mid	Mid
m	23-28	Sciences & Maths	completed	B	East	highschool-art	no	high	mid	mid	low	mid	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
LGBT	>23	Health 	third	B+	North	highschool-mathsci	yes	high	high	mid	mid	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
m	>23	Engineer & Industrial	second	C+	North	vocational	yes	high	high	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Sciences & Maths	forth	B	Central	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
m	>23	Arts & Humanities	first	C+	NorthEast	highschool-art	yes	mid	mid	high	high	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
m	23-28	Sciences & Maths	completed	B	North	highschool-mathsci	yes	mid	mid	high	high	high	High	Low	Mid	Mid	High	Low	High	Low
LGBT	>23	Arts & Humanities	third	C+	West	vocational	yes	high	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	forth	B	West	vocational	no	mid	mid	high	high	high	High	Low	Mid	Mid	Low	High	Mid	Mid
m	23-28	ICTs	completed	B	North	highschool-mathsci	yes	mid	mid	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Sciences & Maths	second	B+	East	highschool-mathsci	yes	mid	mid	high	mid	high	High	Low	High	Low	Low	High	Mid	Mid
m	>23	ICTs	third	C+	North	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
LGBT	>23	Engineer & Industrial	first	B	Central	vocational	yes	mid	mid	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Sciences & Maths	third	C+	North	highschool-mathsci	yes	mid	high	high	mid	high	High	Low	Mid	Mid	High	Low	High	Low
f	>23	Health 	third	B	North	highschool-art	yes	mid	high	mid	high	low	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	first	C+	Central	vocational	yes	mid	mid	mid	high	high	High	Low	Mid	Mid	High	Low	Low	High
m	>23	Engineer & Industrial	third	B	Central	highschool-mathsci	yes	high	high	high	mid	high	High	Low	Mid	Mid	High	Low	High	Low
f	>23	Education	second	B	North	highschool-art	yes	mid	mid	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Education	forth	B	North	highschool-art	yes	mid	high	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Education	second	B+	North	highschool-art	yes	high	mid	low	mid	high	High	Low	High	Low	Mid	Mid	Mid	Mid
f	>23	Education	forth	B	North	highschool-art	yes	mid	mid	high	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	first	C+	Central	highschool-art	yes	high	high	low	mid	high	High	Low	Mid	Mid	Mid	Mid	Low	High
LGBT	>23	Social sciences & Journal	second	B	Central	highschool-art	yes	mid	mid	high	high	high	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
f	23-28	Social sciences & Journal	completed	B	North	highschool-art	yes	mid	mid	low	low	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
f	>23	Business and Law	forth	C+	NorthEast	highschool-mathsci	yes	high	mid	mid	mid	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
LGBT	>23	Engineer & Industrial	second	C+	NorthEast	highschool-mathsci	no	high	mid	mid	high	high	High	Low	Mid	Mid	High	Low	Mid	Mid
LGBT	>23	Engineer & Industrial	second	C+	North	vocational	yes	mid	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Health 	second	B	NorthEast	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	High	Low	Low	High	Low	High
m	23-28	Sciences & Maths	completed	C+	NorthEast	highschool-mathsci	yes	mid	high	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
m	>23	Sciences & Maths	forth	C+	NorthEast	highschool-mathsci	yes	mid	low	high	mid	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
m	>23	Business and Law	second	B	NorthEast	highschool-mathsci	yes	mid	mid	high	low	high	High	Low	Low	High	Mid	Mid	High	Low
m	>23	Engineer & Industrial	second	C+	NorthEast	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	Low	High	High	Low
m	>23	Engineer & Industrial	second	C+	NorthEast	highschool-mathsci	no	high	high	high	mid	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	second	B	NorthEast	highschool-art	yes	mid	high	high	mid	high	High	Low	High	Low	Mid	Mid	High	Low
LGBT	>23	Health 	second	B	NorthEast	highschool-art	yes	high	high	mid	high	mid	Mid	Mid	High	Low	Low	High	High	Low
f	29-34	Business and Law	completed	B	NorthEast	highschool-mathsci	yes	high	mid	mid	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
f	>23	Business and Law	first	C+	NorthEast	highschool-mathsci	yes	high	high	high	mid	high	High	Low	Low	High	Mid	Mid	High	Low
f	>23	Business and Law	first	C+	NorthEast	highschool-mathsci	yes	high	mid	high	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	>23	Social sciences & Journal	third	B+	NorthEast	highschool-art	yes	low	mid	mid	high	mid	Low	High	High	Low	Low	High	Mid	Mid
m	>23	Sciences & Maths	first	C+	NorthEast	highschool-art	yes	mid	high	mid	high	mid	Mid	Mid	Low	High	Low	High	High	Low
m	>23	Sciences & Maths	forth	B	NorthEast	highschool-art	no	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
m	>23	Engineer & Industrial	second	C+	NorthEast	highschool-mathsci	yes	high	high	high	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	23-28	Arts & Humanities	completed	B	NorthEast	highschool-art	yes	mid	mid	mid	high	mid	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
f	>23	Health 	second	B	NorthEast	highschool-art	yes	high	mid	high	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
m	>23	Arts & Humanities	forth	B	NorthEast	highschool-art	yes	mid	mid	high	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Business and Law	third	B	NorthEast	highschool-mathsci	no	mid	high	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	>23	Engineer & Industrial	third	B	NorthEast	highschool-art	yes	mid	mid	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	third	B	West	highschool-mathsci	yes	mid	mid	high	mid	high	High	Low	High	Low	High	Low	Mid	Mid
m	29-34	Engineer & Industrial	completed	B	East	highschool-mathsci	yes	mid	high	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Business and Law	first	C+	Central	highschool-art	yes	mid	mid	mid	high	high	High	Low	Mid	Mid	High	Low	High	Low
m	>23	Engineer & Industrial	forth	C+	Central	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
m	>23	Engineer & Industrial	second	B+	North	highschool-art	yes	high	mid	mid	high	high	High	Low	High	Low	Mid	Mid	Mid	Mid
m	>23	ICTs	third	B	North	vocational	yes	high	mid	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
f	29-34	Social sciences & Journal	completed	B	North	highschool-art	yes	mid	mid	high	mid	mid	High	Low	High	Low	Mid	Mid	High	Low
f	>23	Social sciences & Journal	second	B	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Education	first	B	North	highschool-art	yes	mid	mid	mid	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
f	>23	Arts & Humanities	forth	B	Central	highschool-art	yes	mid	mid	mid	high	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	Arts & Humanities	forth	C+	Central	highschool-art	no	high	mid	mid	high	high	Mid	Mid	Low	High	Low	High	Mid	Mid
m	>23	Arts & Humanities	second	B	Central	highschool-art	yes	mid	mid	low	mid	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
LGBT	>23	Arts & Humanities	third	B	Central	highschool-art	yes	high	mid	high	mid	mid	High	Low	Mid	Mid	Low	High	High	Low
f	>23	Social sciences & Journal	first	B	Central	highschool-art	yes	mid	mid	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	forth	B	West	highschool-mathsci	yes	mid	high	high	high	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	ICTs	second	B	North	highschool-art	yes	mid	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Arts & Humanities	third	B	Central	highschool-art	yes	high	high	high	high	high	Mid	Mid	High	Low	High	Low	High	Low
f	>23	Business and Law	second	B	North	highschool-mathsci	yes	mid	mid	high	high	high	Mid	Mid	Mid	Mid	Low	High	High	Low
m	>23	Engineer & Industrial	forth	B	South	highschool-art	yes	mid	mid	mid	mid	high	Mid	Mid	High	Low	Mid	Mid	High	Low
LGBT	>23	ICTs	third	C+	West	highschool-art	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Arts & Humanities	second	C+	Central	highschool-art	no	mid	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	ICTs	first	C+	Central	highschool-art	yes	high	mid	low	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Engineer & Industrial	third	B	Central	highschool-art	yes	mid	high	mid	high	high	Mid	Mid	High	Low	Low	High	Mid	Mid
m	>23	Engineer & Industrial	second	B	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Low	High	Low	High	Low	High
LGBT	23-28	Arts & Humanities	completed	B	Central	highschool-art	yes	mid	high	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Business and Law	first	C+	North	highschool-art	yes	mid	high	mid	high	mid	Mid	Mid	High	Low	Low	High	Mid	Mid
m	23-28	Business and Law	completed	B	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	Arts & Humanities	forth	C+	Central	highschool-art	yes	low	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
m	>23	Arts & Humanities	third	B	Central	highschool-art	yes	mid	mid	high	mid	mid	Mid	Mid	High	Low	Mid	Mid	High	Low
m	>23	Engineer & Industrial	third	B	East	highschool-mathsci	yes	high	mid	high	high	high	Mid	Mid	Mid	Mid	High	Low	High	Low
m	>23	Engineer & Industrial	third	B	Central	highschool-art	yes	mid	high	mid	high	high	High	Low	High	Low	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	second	B	Central	highschool-art	yes	mid	mid	mid	high	high	Low	High	High	Low	Mid	Mid	High	Low
LGBT	>23	Social sciences & Journal	second	B	Central	highschool-art	yes	mid	high	mid	mid	mid	High	Low	Mid	Mid	High	Low	Low	High
f	>23	Education	third	B	Central	highschool-art	yes	mid	mid	mid	high	mid	High	Low	Low	High	Mid	Mid	Mid	Mid
f	>23	Health 	third	B	North	highschool-art	yes	high	high	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Health 	second	C+	North	highschool-art	yes	mid	high	high	mid	mid	Mid	Mid	High	Low	Low	High	High	Low
f	>23	Health 	second	C+	North	highschool-mathsci	yes	mid	high	mid	mid	high	Mid	Mid	Low	High	Mid	Mid	High	Low
m	>23	Engineer & Industrial	forth	C+	North	highschool-mathsci	yes	high	high	mid	high	high	High	Low	High	Low	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	third	B	North	highschool-mathsci	yes	high	high	mid	high	high	Mid	Mid	Mid	Mid	High	Low	Low	High
LGBT	>23	Arts & Humanities	third	B	Central	highschool-art	yes	high	mid	mid	mid	high	High	Low	Mid	Mid	High	Low	Mid	Mid
LGBT	>23	Business and Law	third	B+	North	vocational	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
f	>23	Health 	first	B	Central	highschool-mathsci	yes	high	high	high	high	high	High	Low	High	Low	Low	High	Mid	Mid
LGBT	23-28	Social sciences & Journal	forth	B	North	vocational	yes	high	high	high	high	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
f	>23	Engineer & Industrial	second	B+	North	highschool-mathsci	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
m	>23	Sciences & Maths	second	C+	North	highvocational	yes	high	low	high	mid	mid	Low	High	Low	High	Mid	Mid	High	Low
m	23-28	Engineer & Industrial	second	B+	North	vocational	yes	high	mid	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Health 	forth	B	Central	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	>23	Business and Law	first	B+	Central	highschool-art	no	low	mid	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	23-28	Health 	completed	B	North	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Business and Law	third	C	North	highschool-mathsci	no	high	low	mid	high	high	Mid	Mid	High	Low	Mid	Mid	Low	High
LGBT	>23	Education	third	B	North	highschool-mathsci	yes	high	low	high	mid	mid	Mid	Mid	Mid	Mid	Low	High	High	Low
f	>23	Health 	second	C+	North	highschool-mathsci	yes	high	high	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
LGBT	>23	Business and Law	first	B+	North	highschool-art	no	low	mid	mid	high	mid	Mid	Mid	Mid	Mid	High	Low	Low	High
f	23-28	Engineer & Industrial	third	B	NorthEast	highschool-mathsci	yes	high	low	high	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
m	>23	Engineer & Industrial	third	C+	East	highschool-mathsci	yes	mid	high	high	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	forth	B	West	highschool-mathsci	yes	high	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	>23	Engineer & Industrial	third	C+	Central	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Low	High	Mid	Mid	Low	High
m	>23	Engineer & Industrial	second	C+	West	highschool-mathsci	yes	high	high	high	mid	high	Mid	Mid	High	Low	Mid	Mid	High	Low
f	>23	Arts & Humanities	second	B	Central	highschool-art	yes	mid	mid	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	High	Low
f	>23	Health 	third	C+	Central	highschool-mathsci	yes	high	high	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Health 	third	B	North	highschool-mathsci	yes	mid	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Health 	second	B	Central	highschool-mathsci	yes	high	mid	high	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
f	>23	Health 	forth	C+	Central	highschool-mathsci	yes	high	mid	mid	mid	mid	Mid	Mid	Mid	Mid	High	Low	Low	High
f	>23	Arts & Humanities	first	B	North	highschool-art	yes	mid	high	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
LGBT	>23	Education	second	B	NorthEast	highschool-mathsci	yes	mid	high	mid	mid	low	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
m	23-28	Engineer & Industrial	second	C	North	vocational	no	low	high	mid	low	mid	Mid	Mid	Mid	Mid	High	Low	High	Low
LGBT	>23	Arts & Humanities	second	B	North	highschool-art	yes	high	high	high	high	high	High	Low	Low	High	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	first	C+	North	highvocational	no	mid	low	low	mid	mid	Mid	Mid	High	Low	High	Low	High	Low
f	>23	Arts & Humanities	first	B	East	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Business and Law	second	C	Central	highschool-mathsci	no	low	high	high	high	mid	Low	High	Mid	Mid	Low	High	Low	High
m	>23	Social sciences & Journal	second	C+	North	highschool-art	yes	mid	mid	mid	high	mid	Low	High	Low	High	Mid	Mid	Mid	Mid
m	23-28	Social sciences & Journal	first	B	Central	highschool-art	yes	mid	high	high	high	high	High	Low	Mid	Mid	Low	High	Low	High
LGBT	23-28	Engineer & Industrial	first	B	Central	non-formal	no	high	low	high	high	low	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
LGBT	>23	Business and Law	first	C	Central	non-formal	no	low	high	high	high	mid	Mid	Mid	Low	High	Mid	Mid	High	Low
f	>23	Sciences & Maths	third	C+	North	highschool-mathsci	yes	high	mid	high	mid	high	Mid	Mid	High	Low	Mid	Mid	High	Low
f	>23	Social sciences & Journal	forth	B	North	highschool-art	yes	mid	mid	high	mid	high	Mid	Mid	Mid	Mid	High	Low	Low	High
m	>23	Engineer & Industrial	second	C+	Central	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	second	C+	Central	highschool-mathsci	yes	high	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Engineer & Industrial	second	C+	South	highschool-mathsci	yes	high	high	mid	high	high	Low	High	Mid	Mid	Mid	Mid	High	Low
m	29-34	Engineer & Industrial	completed	C	Central	highvocational	no	mid	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Arts & Humanities	third	B	East	highschool-art	yes	mid	low	mid	high	high	Low	High	High	Low	Mid	Mid	High	Low
m	>23	Arts & Humanities	forth	C+	Central	highschool-art	yes	mid	high	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
f	>23	Arts & Humanities	second	B	Central	highschool-art	yes	mid	mid	mid	high	high	High	Low	Low	High	High	Low	High	Low
m	>23	Business and Law	forth	B	Central	highschool-art	yes	mid	mid	low	mid	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
f	>23	Arts & Humanities	second	B	Central	highschool-art	no	mid	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	High	Low
f	>23	Social sciences & Journal	first	B	Central	highschool-art	yes	mid	mid	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Education	second	B	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
