sex,Age,major group3,year,gpax,Region,previous-edu,uni-activity,influ-major,influ-people,influ-wellknown,influ-quality,influ-careermarket,TYPE
m,23-28,Sciences & Maths,completed,B,North,highschool-mathsci,yes,mid,mid,high,high,high,ENTJ
LGBT,>23,Arts & Humanities,third,C+,West,vocational,yes,high,mid,mid,high,high,ISFP
m,>23,Engineer & Industrial,forth,B,West,vocational,no,mid,mid,high,high,high,ESFJ
m,23-28,ICTs,completed,B,North,highschool-mathsci,yes,mid,mid,mid,high,mid,ENFJ
m,>23,Sciences & Maths,second,B+,East,highschool-mathsci,yes,mid,mid,high,mid,high,ESFP
m,>23,ICTs,third,C+,North,highschool-art,yes,mid,mid,mid,mid,mid,ENTP
LGBT,>23,Engineer & Industrial,first,B,Central,vocational,yes,mid,mid,high,high,high,INFJ
f,>23,Sciences & Maths,third,C+,North,highschool-mathsci,yes,mid,high,high,mid,high,ENTJ
f,>23,Health ,third,B,North,highschool-art,yes,mid,high,mid,high,low,ENTP
m,>23,Engineer & Industrial,first,C+,Central,vocational,yes,mid,mid,mid,high,high,ENTP
m,>23,Engineer & Industrial,third,B,Central,highschool-mathsci,yes,high,high,high,mid,high,ENTJ
f,>23,Education,second,B,North,highschool-art,yes,mid,mid,high,high,mid,ISTP
f,>23,Education,forth,B,North,highschool-art,yes,mid,high,mid,mid,high,ESTJ
f,>23,Education,second,B+,North,highschool-art,yes,high,mid,low,mid,high,ESFJ
f,>23,Education,forth,B,North,highschool-art,yes,mid,mid,high,high,high,ESFJ
f,>23,Social sciences & Journal,first,C+,Central,highschool-art,yes,high,high,low,mid,high,ESFP
LGBT,>23,Social sciences & Journal,second,B,Central,highschool-art,yes,mid,mid,high,high,high,INTJ
f,23-28,Social sciences & Journal,completed,B,North,highschool-art,yes,mid,mid,low,low,mid,ISTJ
f,>23,Business and Law,forth,C+,NorthEast,highschool-mathsci,yes,high,mid,mid,mid,high,ESTP
LGBT,>23,Engineer & Industrial,second,C+,NorthEast,highschool-mathsci,no,high,mid,mid,high,high,ESTJ
LGBT,>23,Engineer & Industrial,second,C+,North,vocational,yes,mid,mid,mid,high,high,ISTP
m,>23,Health ,second,B,NorthEast,highschool-mathsci,yes,high,high,high,high,high,ESFP
m,23-28,Sciences & Maths,completed,C+,NorthEast,highschool-mathsci,yes,mid,high,mid,mid,mid,ESFP
m,>23,Sciences & Maths,forth,C+,NorthEast,highschool-mathsci,yes,mid,low,high,mid,high,ISFJ
m,>23,Business and Law,second,B,NorthEast,highschool-mathsci,yes,mid,mid,high,low,high,ENTJ
m,>23,Engineer & Industrial,second,C+,NorthEast,highschool-mathsci,yes,high,high,high,high,high,ESFJ
m,>23,Engineer & Industrial,second,C+,NorthEast,highschool-mathsci,no,high,high,high,mid,mid,ESFP
m,>23,Engineer & Industrial,second,B,NorthEast,highschool-art,yes,mid,high,high,mid,high,ESTJ
LGBT,>23,Health ,second,B,NorthEast,highschool-art,yes,high,high,mid,high,mid,ISFJ
f,29-34,Business and Law,completed,B,NorthEast,highschool-mathsci,yes,high,mid,mid,high,high,ISTP
f,>23,Business and Law,first,C+,NorthEast,highschool-mathsci,yes,high,high,high,mid,high,ENFJ
f,>23,Business and Law,first,C+,NorthEast,highschool-mathsci,yes,high,mid,high,mid,mid,ESTJ
m,>23,Social sciences & Journal,third,B+,NorthEast,highschool-art,yes,low,mid,mid,high,mid,ISFP
m,>23,Sciences & Maths,first,C+,NorthEast,highschool-art,yes,mid,high,mid,high,mid,INFJ
m,>23,Sciences & Maths,forth,B,NorthEast,highschool-art,no,mid,mid,mid,mid,mid,ENTP
m,>23,Engineer & Industrial,second,C+,NorthEast,highschool-mathsci,yes,high,high,high,mid,high,ESFJ
m,23-28,Arts & Humanities,completed,B,NorthEast,highschool-art,yes,mid,mid,mid,high,mid,ENTJ
f,>23,Health ,second,B,NorthEast,highschool-art,yes,high,mid,high,mid,mid,ESTP
m,>23,Arts & Humanities,forth,B,NorthEast,highschool-art,yes,mid,mid,high,mid,high,ESTJ
f,>23,Business and Law,third,B,NorthEast,highschool-mathsci,no,mid,high,mid,high,mid,ISTJ
m,>23,Engineer & Industrial,third,B,NorthEast,highschool-art,yes,mid,mid,mid,high,mid,ESFJ
m,>23,Engineer & Industrial,third,B,West,highschool-mathsci,yes,mid,mid,high,mid,high,ESTJ
m,29-34,Engineer & Industrial,completed,B,East,highschool-mathsci,yes,mid,high,high,mid,high,ENTJ
m,>23,Business and Law,first,C+,Central,highschool-art,yes,mid,mid,mid,high,high,ESTJ
m,>23,Engineer & Industrial,forth,C+,Central,highschool-art,yes,mid,mid,mid,mid,mid,ENFP
m,>23,Engineer & Industrial,second,B+,North,highschool-art,yes,high,mid,mid,high,high,ESFJ
m,>23,ICTs,third,B,North,vocational,yes,high,mid,high,mid,mid,ESTJ
f,29-34,Social sciences & Journal,completed,B,North,highschool-art,yes,mid,mid,high,mid,mid,ESFJ
f,>23,Social sciences & Journal,second,B,Central,highschool-art,yes,mid,mid,mid,mid,mid,INTP
m,>23,Education,first,B,North,highschool-art,yes,mid,mid,mid,high,high,ESTP
f,>23,Arts & Humanities,forth,B,Central,highschool-art,yes,mid,mid,mid,high,high,ENTP
f,>23,Arts & Humanities,forth,C+,Central,highschool-art,no,high,mid,mid,high,high,ENFP
m,>23,Arts & Humanities,second,B,Central,highschool-art,yes,mid,mid,low,mid,mid,ENTJ
LGBT,>23,Arts & Humanities,third,B,Central,highschool-art,yes,high,mid,high,mid,mid,ESFJ
f,>23,Social sciences & Journal,first,B,Central,highschool-art,yes,mid,mid,mid,mid,high,ENFP
m,>23,Engineer & Industrial,forth,B,West,highschool-mathsci,yes,mid,high,high,high,high,ENTJ
f,>23,ICTs,second,B,North,highschool-art,yes,mid,high,high,high,mid,ENTP
f,>23,Arts & Humanities,third,B,Central,highschool-art,yes,high,high,high,high,high,ISTJ
f,>23,Business and Law,second,B,North,highschool-mathsci,yes,mid,mid,high,high,high,ESFJ
m,>23,Engineer & Industrial,forth,B,South,highschool-art,yes,mid,mid,mid,mid,high,ESFJ
LGBT,>23,ICTs,third,C+,West,highschool-art,yes,mid,high,mid,high,mid,ENTP
f,>23,Arts & Humanities,second,C+,Central,highschool-art,no,mid,mid,mid,high,high,ESTJ
f,>23,ICTs,first,C+,Central,highschool-art,yes,high,mid,low,mid,mid,ENTJ
f,>23,Engineer & Industrial,third,B,Central,highschool-art,yes,mid,high,mid,high,high,ISFJ
m,>23,Engineer & Industrial,second,B,Central,highschool-art,yes,mid,mid,mid,mid,mid,INFP
LGBT,23-28,Arts & Humanities,completed,B,Central,highschool-art,yes,mid,high,high,mid,high,ESTP
m,>23,Business and Law,first,C+,North,highschool-art,yes,mid,high,mid,high,mid,ISFP
m,23-28,Business and Law,completed,B,Central,highschool-art,yes,mid,mid,mid,mid,mid,ESTP
f,>23,Arts & Humanities,forth,C+,Central,highschool-art,yes,low,low,mid,mid,mid,ESFP
m,>23,Arts & Humanities,third,B,Central,highschool-art,yes,mid,mid,high,mid,mid,ESTJ
m,>23,Engineer & Industrial,third,B,East,highschool-mathsci,yes,high,mid,high,high,high,INTJ
m,>23,Engineer & Industrial,third,B,Central,highschool-art,yes,mid,high,mid,high,high,ESTP
f,>23,Social sciences & Journal,second,B,Central,highschool-art,yes,mid,mid,mid,high,high,ISFJ
LGBT,>23,Social sciences & Journal,second,B,Central,highschool-art,yes,mid,high,mid,mid,mid,ESTP
f,>23,Education,third,B,Central,highschool-art,yes,mid,mid,mid,high,mid,ENTP
f,>23,Health ,third,B,North,highschool-art,yes,high,high,high,mid,mid,ESTJ
f,>23,Health ,second,C+,North,highschool-art,yes,mid,high,high,mid,mid,ISFJ
f,>23,Health ,second,C+,North,highschool-mathsci,yes,mid,high,mid,mid,high,ENTJ
m,>23,Engineer & Industrial,forth,C+,North,highschool-mathsci,yes,high,high,mid,high,high,ESFJ
m,>23,Engineer & Industrial,third,B,North,highschool-mathsci,yes,high,high,mid,high,high,ENTP
LGBT,>23,Arts & Humanities,third,B,Central,highschool-art,yes,high,mid,mid,mid,high,ESTP
LGBT,>23,Business and Law,third,B+,North,vocational,yes,high,mid,high,high,high,ESTJ
f,>23,Health ,first,B,Central,highschool-mathsci,yes,high,high,high,high,high,ESFJ
LGBT,23-28,Social sciences & Journal,forth,B,North,vocational,yes,high,high,high,high,mid,ESTJ
f,>23,Engineer & Industrial,second,B+,North,highschool-mathsci,yes,high,mid,high,high,high,ESTJ
m,>23,Sciences & Maths,second,C+,North,highvocational,yes,high,low,high,mid,mid,INTJ
m,23-28,Engineer & Industrial,second,B+,North,vocational,yes,high,mid,high,mid,high,ESFJ
m,>23,Health ,forth,B,Central,highschool-mathsci,yes,high,high,high,high,high,ENTJ
m,>23,Business and Law,first,B+,Central,highschool-art,no,low,mid,high,mid,high,ENFP
m,23-28,Health ,completed,B,North,highschool-mathsci,yes,high,high,mid,high,high,ENFJ
f,>23,Business and Law,third,C,North,highschool-mathsci,no,high,low,mid,high,high,ESTP
LGBT,>23,Education,third,B,North,highschool-mathsci,yes,high,low,high,mid,mid,ESFJ
f,>23,Health ,second,C+,North,highschool-mathsci,yes,high,high,high,mid,high,ENTJ
LGBT,>23,Business and Law,first,B+,North,highschool-art,no,low,mid,mid,high,mid,ENTP
f,23-28,Engineer & Industrial,third,B,NorthEast,highschool-mathsci,yes,high,low,high,high,high,ENTJ
m,>23,Engineer & Industrial,third,C+,East,highschool-mathsci,yes,mid,high,high,high,high,ISTJ
m,>23,Engineer & Industrial,forth,B,West,highschool-mathsci,yes,high,high,high,high,mid,ENTJ
m,>23,Engineer & Industrial,third,C+,Central,highschool-mathsci,yes,high,high,high,high,high,INTP
m,>23,Engineer & Industrial,second,C+,West,highschool-mathsci,yes,high,high,high,mid,high,ESFJ
f,>23,Arts & Humanities,second,B,Central,highschool-art,yes,mid,mid,high,mid,mid,ISTJ
f,>23,Health ,third,C+,Central,highschool-mathsci,yes,high,high,mid,mid,high,ESFJ
f,>23,Health ,third,B,North,highschool-mathsci,yes,mid,high,high,high,high,ESTJ
f,>23,Health ,second,B,Central,highschool-mathsci,yes,high,mid,high,high,high,ESTJ
f,>23,Health ,forth,C+,Central,highschool-mathsci,yes,high,mid,mid,mid,mid,ISTP
f,>23,Arts & Humanities,first,B,North,highschool-art,yes,mid,high,mid,mid,mid,ENTJ
LGBT,>23,Education,second,B,NorthEast,highschool-mathsci,yes,mid,high,mid,mid,low,ESTJ
m,23-28,Engineer & Industrial,second,C,North,vocational,no,low,high,mid,low,mid,INTJ
LGBT,>23,Arts & Humanities,second,B,North,highschool-art,yes,high,high,high,high,high,ENFJ
m,>23,Engineer & Industrial,first,C+,North,highvocational,no,mid,low,low,mid,mid,ISTJ
f,>23,Arts & Humanities,first,B,East,highschool-art,yes,mid,mid,mid,mid,mid,ESFJ
m,>23,Business and Law,second,C,Central,highschool-mathsci,no,low,high,high,high,mid,INFP
m,>23,Social sciences & Journal,second,C+,North,highschool-art,yes,mid,mid,mid,high,mid,INFJ
m,23-28,Social sciences & Journal,first,B,Central,highschool-art,yes,mid,high,high,high,high,ENFP
LGBT,23-28,Engineer & Industrial,first,B,Central,non-formal,no,high,low,high,high,low,ISTP
LGBT,>23,Business and Law,first,C,Central,non-formal,no,low,high,high,high,mid,INTJ
f,>23,Sciences & Maths,third,C+,North,highschool-mathsci,yes,high,mid,high,mid,high,ESFJ
f,>23,Social sciences & Journal,forth,B,North,highschool-art,yes,mid,mid,high,mid,high,ENTP
m,>23,Engineer & Industrial,second,C+,Central,highschool-mathsci,yes,high,high,high,high,high,ISFJ
m,>23,Engineer & Industrial,second,C+,Central,highschool-mathsci,yes,high,mid,mid,high,high,INFJ
f,>23,Engineer & Industrial,second,C+,South,highschool-mathsci,yes,high,high,mid,high,high,ISFJ
m,29-34,Engineer & Industrial,completed,C,Central,highvocational,no,mid,mid,high,high,high,ESFP
m,>23,Arts & Humanities,third,B,East,highschool-art,yes,mid,low,mid,high,high,ISTJ
m,>23,Arts & Humanities,forth,C+,Central,highschool-art,yes,mid,high,mid,high,mid,ISTP
f,>23,Arts & Humanities,second,B,Central,highschool-art,yes,mid,mid,mid,high,high,ENTJ
m,>23,Business and Law,forth,B,Central,highschool-art,yes,mid,mid,low,mid,mid,INFP
f,>23,Arts & Humanities,second,B,Central,highschool-art,no,mid,mid,mid,mid,mid,ESTJ
f,>23,Social sciences & Journal,first,B,Central,highschool-art,yes,mid,mid,mid,mid,high,ENTP
f,>23,Education,second,B,Central,highschool-art,yes,mid,mid,mid,mid,mid,ESFJ
m,>23,Engineer & Industrial,second,C+,Central,highschool-mathsci,yes,high,high,high,high,high,ISTP
m,>23,Engineer & Industrial,forth,B,Central,highschool-mathsci,yes,high,high,mid,high,high,INFJ
f,>23,Arts & Humanities,second,B,NorthEast,highschool-art,yes,mid,mid,mid,mid,mid,ESFJ
m,>23,Engineer & Industrial,third,B,NorthEast,highschool-mathsci,yes,high,high,high,high,high,ESTJ
f,>23,Health ,second,B,North,highschool-mathsci,yes,high,high,high,high,high,ISTP
f,29-34,Arts & Humanities,completed,B,NorthEast,highschool-art,yes,mid,mid,mid,high,high,ESTJ
f,23-28,Arts & Humanities,completed,B,NorthEast,highschool-art,yes,mid,high,mid,mid,mid,INTP
f,>23,Health ,forth,B,East,highschool-mathsci,yes,mid,mid,high,high,high,ENTJ
m,>23,Health ,second,B,West,highschool-mathsci,yes,high,high,mid,mid,high,ESTJ
m,>23,Education,third,C+,Central,highschool-art,yes,mid,high,mid,mid,mid,ESTP
f,29-34,Social sciences & Journal,completed,B+,Central,highschool-art,yes,low,mid,mid,mid,mid,ESFJ
LGBT,>23,Arts & Humanities,third,B,North,highschool-art,yes,mid,mid,mid,mid,mid,ENFP
m,>23,Sciences & Maths,second,C+,Central,highschool-art,yes,mid,mid,mid,mid,mid,ENFJ
f,>23,Social sciences & Journal,first,C+,NorthEast,highschool-art,yes,mid,low,low,mid,mid,ESTJ
m,23-28,Engineer & Industrial,completed,B,East,highschool-mathsci,yes,high,high,high,high,high,ESTP
f,>23,Arts & Humanities,first,C+,NorthEast,highschool-art,yes,mid,mid,mid,mid,mid,ISTP
m,>23,Sciences & Maths,third,C+,South,highschool-mathsci,yes,mid,mid,mid,mid,high,ESTJ
m,>23,Arts & Humanities,second,B,Central,highschool-art,yes,mid,mid,mid,mid,high,ESTP
f,>23,Sciences & Maths,first,C+,Central,highschool-art,yes,mid,mid,high,high,mid,ESFJ
f,>23,Health ,second,B,Central,highschool-mathsci,yes,mid,high,high,mid,mid,ENTJ
f,>23,Sciences & Maths,forth,B,East,highschool-art,yes,mid,mid,mid,mid,mid,ESTJ
f,23-28,Social sciences & Journal,second,C+,Central,vocational,yes,mid,low,high,mid,high,INFP
f,29-34,Sciences & Maths,completed,C+,East,highschool-art,yes,mid,high,high,mid,mid,ESFJ
f,>23,Education,second,B,Central,highschool-mathsci,yes,low,mid,low,mid,mid,ENTP
LGBT,23-28,Engineer & Industrial,completed,B,Central,vocational,yes,mid,mid,mid,mid,mid,ENFP
LGBT,23-28,Education,forth,B,Central,highschool-mathsci,yes,mid,low,high,high,high,INTJ
f,>23,Health ,third,B,Central,highschool-mathsci,yes,low,mid,high,mid,mid,INTJ
m,>23,Arts & Humanities,second,C+,Central,highschool-art,yes,high,high,mid,mid,mid,ESTP
f,>23,Sciences & Maths,forth,B,NorthEast,highschool-art,yes,mid,mid,high,mid,mid,ESFP
f,>23,Social sciences & Journal,first,C,Central,highvocational,no,high,mid,mid,high,high,ENTJ
f,>23,Sciences & Maths,second,C+,Central,highschool-art,yes,mid,mid,high,mid,mid,ESFJ
f,23-28,Engineer & Industrial,completed,B,West,highvocational,no,mid,mid,mid,high,mid,ISTJ
f,>23,Sciences & Maths,second,C+,West,highschool-mathsci,yes,high,mid,mid,high,mid,ESTJ
m,>23,Engineer & Industrial,second,B,NorthEast,vocational,yes,mid,high,mid,high,high,ESFJ
f,23-28,Arts & Humanities,first,C+,North,highschool-art,no,low,low,mid,mid,mid,ESFJ
m,>23,Engineer & Industrial,second,C+,NorthEast,vocational,yes,mid,high,mid,mid,mid,ESTJ
m,23-28,Business and Law,first,B+,North,highschool-mathsci,yes,high,low,high,mid,high,ESTP
m,>23,Engineer & Industrial,second,C+,Central,highschool-mathsci,yes,high,high,high,high,high,ISTJ
LGBT,23-28,Sciences & Maths,completed,B+,North,highschool-mathsci,yes,high,low,high,mid,mid,INTJ
LGBT,23-28,ICTs,first,C+,North,highschool-art,yes,low,high,mid,high,mid,ESFJ
LGBT,23-28,Social sciences & Journal,first,C+,North,highschool-art,yes,mid,high,mid,low,low,INTJ
f,23-28,Health ,second,B,North,highschool-mathsci,yes,low,low,high,high,mid,ENTJ
f,23-28,Social sciences & Journal,third,B,NorthEast,highschool-art,no,low,high,high,mid,low,INFJ
LGBT,>23,Arts & Humanities,second,C+,NorthEast,highschool-art,no,high,low,high,mid,mid,ISFJ
f,>23,Sciences & Maths,first,B,North,highschool-mathsci,yes,mid,mid,high,mid,high,ESTJ
f,>23,Sciences & Maths,first,C+,Central,highschool-mathsci,yes,mid,high,mid,mid,high,ENTJ
LGBT,23-28,Business and Law,second,B,NorthEast,non-formal,no,low,low,high,high,mid,ISTJ
LGBT,23-28,Business and Law,first,B,NorthEast,highschool-art,no,mid,mid,high,high,mid,ESFP
f,23-28,Arts & Humanities,first,C+,NorthEast,highschool-art,no,mid,low,high,mid,high,ENFJ
LGBT,>23,Social sciences & Journal,first,B,NorthEast,highvocational,no,mid,mid,high,mid,high,ESFJ
m,23-28,Social sciences & Journal,completed,B,Central,highschool-art,yes,mid,low,mid,low,mid,ESTJ
LGBT,23-28,Arts & Humanities,first,B,NorthEast,highschool-art,no,mid,mid,high,mid,high,ENTP
LGBT,>23,Health ,first,B,NorthEast,highschool-mathsci,no,mid,mid,mid,mid,high,ESTJ
LGBT,>23,Sciences & Maths,first,B+,Central,highschool-mathsci,yes,low,mid,high,mid,mid,ISFJ
f,>23,Arts & Humanities,second,B,Central,vocational,no,mid,high,high,mid,mid,ISFJ
f,23-28,Arts & Humanities,forth,B,Central,highschool-art,no,mid,mid,high,high,high,ISFJ
f,23-28,Arts & Humanities,second,B,Central,highschool-art,yes,high,high,high,mid,mid,ISTP
f,23-28,Sciences & Maths,second,B,Central,highschool-mathsci,no,high,low,high,high,high,ESTP
m,23-28,Business and Law,second,B,East,vocational,no,mid,mid,mid,mid,high,ENTJ
LGBT,>23,Business and Law,first,B+,East,highschool-mathsci,no,high,low,high,high,high,INTJ
LGBT,>23,Business and Law,first,B,East,non-formal,no,mid,high,high,high,low,ISTJ
LGBT,>23,Social sciences & Journal,first,B,East,highschool-art,yes,mid,high,high,high,high,INFJ
LGBT,>23,Business and Law,second,A,South,highschool-mathsci,yes,high,high,high,high,high,ENTP
LGBT,>23,Business and Law,second,B,South,highschool-art,yes,high,mid,high,mid,mid,ESTP
LGBT,>23,Social sciences & Journal,first,B,South,vocational,no,mid,high,mid,high,mid,ESFJ
LGBT,23-28,Social sciences & Journal,first,B,South,highschool-art,yes,mid,high,mid,high,mid,ESFP
LGBT,23-28,Business and Law,first,B,South,vocational,no,high,high,high,high,low,ENTP
LGBT,>23,Education,second,B+,South,highschool-mathsci,no,low,mid,mid,mid,mid,ENTJ
f,23-28,Arts & Humanities,completed,B+,South,highschool-art,no,mid,mid,mid,mid,mid,ENTP
m,>23,Business and Law,second,C,South,highschool-art,no,mid,high,mid,mid,low,ESTJ
f,>23,Business and Law,second,C+,South,highvocational,no,low,high,high,high,mid,ISFJ
LGBT,>23,Education,second,B,South,highschool-mathsci,no,mid,mid,high,high,mid,ISFJ
f,23-28,Education,third,B,North,highschool-mathsci,yes,mid,high,high,high,mid,INTJ
m,23-28,Education,third,B,North,highschool-mathsci,no,mid,mid,high,high,high,ESTJ
m,23-28,Business and Law,completed,B,North,highvocational,no,mid,mid,mid,mid,mid,ISFJ
f,>23,Business and Law,second,B+,North,vocational,no,mid,mid,mid,mid,mid,ISTJ
f,23-28,Social sciences & Journal,second,B,North,highvocational,no,mid,mid,high,high,mid,ENTP
m,23-28,Social sciences & Journal,second,C+,North,non-formal,no,mid,low,high,high,mid,ISFJ
f,>23,Arts & Humanities,second,B,North,non-formal,no,high,low,high,mid,mid,ISTP
m,>23,Social sciences & Journal,second,B,North,highschool-art,no,high,low,high,mid,mid,ESFP
m,23-28,Education,completed,B,North,highschool-mathsci,no,mid,high,high,high,mid,INFJ
LGBT,23-28,Business and Law,second,B,North,vocational,no,mid,high,mid,mid,mid,ISFJ
f,23-28,Engineer & Industrial,forth,B,North,highvocational,no,mid,high,high,mid,high,ENFJ
LGBT,>23,Engineer & Industrial,first,B,North,highschool-mathsci,no,high,high,high,mid,high,ESTJ
